City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Honningsvag,NO,70.9821,25.9704,51.55,82,100,13.8,overcast clouds
256,Samarai,PG,-10.6167,150.6667,79.21,83,82,13.38,broken clouds
257,Shimoda,JP,34.6667,138.95,74.1,85,100,5.91,overcast clouds
258,Babu,CN,24.4167,111.5167,77.9,83,4,1.61,clear sky
259,Cherskiy,RU,68.75,161.3,57.69,46,15,0.43,few clouds
260,Kahului,US,20.8947,-156.47,84.22,66,20,17.27,few clouds
261,Havre-Saint-Pierre,CA,50.2334,-63.5986,67.24,74,6,8.21,clear sky
262,Maraa,BR,-1.8333,-65.3667,79.34,94,95,1.14,overcast clouds
263,Qandala,SO,11.472,49.8728,88.77,56,77,5.77,broken clouds
264,Oksfjord,NO,70.2396,22.3479,53.67,94,100,8.75,overcast clouds
265,Margate,GB,51.3813,1.3862,67.87,68,97,1.99,overcast clouds
266,Orcopampa,PE,-15.2661,-72.3417,56.62,26,77,11.59,broken clouds
267,Nome,US,64.5011,-165.4064,48.76,80,100,15.75,light rain
268,Jimenez,MX,28.3333,-105.4,95.43,23,50,10.11,scattered clouds
269,Sobolevo,RU,54.4299,31.8996,62.24,88,9,7.2,clear sky
270,Roura,GF,4.7263,-52.3274,85.91,70,20,12.66,light rain
271,New Norfolk,AU,-42.7826,147.0587,47.91,84,100,2.48,overcast clouds
272,Coxim,BR,-18.5067,-54.76,87.82,23,100,5.08,overcast clouds
273,Vardo,NO,70.3705,31.1107,51.78,87,100,4.61,overcast clouds
274,Pauini,BR,-7.7136,-66.9764,84.61,63,84,3.04,broken clouds
275,Thabazimbi,ZA,-24.5917,27.4116,61.07,54,76,4.16,broken clouds
276,Mahanoro,MG,-19.9,48.8,65.91,90,74,2.93,broken clouds
277,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,2.3,overcast clouds
278,Nkhotakota,MW,-12.9274,34.2961,66.99,73,8,5.12,clear sky
279,Eyl,SO,7.9803,49.8164,76.87,78,100,25.46,overcast clouds
280,Vostok,RU,46.4856,135.8833,59.32,96,100,0.94,overcast clouds
281,Kango,GA,0.1943,10.0951,73.9,76,95,4.9,overcast clouds
282,Ulaanbaatar,MN,47.9077,106.8832,53.73,87,40,4.47,scattered clouds
283,Meulaboh,ID,4.1363,96.1285,75.61,92,100,4.47,overcast clouds
284,Nata,PA,8.3333,-80.5167,82.27,86,100,3.94,overcast clouds
285,Amapa,BR,1.0,-52.0,78.37,79,93,1.66,overcast clouds
286,Itaqui,BR,-29.1253,-56.5531,71.15,85,100,8.08,overcast clouds
287,San Patricio,US,28.017,-97.5169,94.86,43,22,19.33,few clouds
288,San Jeronimo,PE,-11.9472,-75.2829,65.43,29,89,6.15,overcast clouds
289,Xifeng,CN,42.7372,124.7222,64.44,96,95,3.27,overcast clouds
290,Biak,ID,-0.9131,122.8766,75.04,86,51,5.26,broken clouds
291,Rio Grande,BR,-32.035,-52.0986,68.11,96,58,7.38,broken clouds
292,Vila Velha,BR,-20.3297,-40.2925,76.95,81,0,13.8,clear sky
293,Sacama,EC,-3.9,-79.2667,62.49,57,57,1.59,light rain
294,Panalingaan,PH,8.7842,117.4231,78.12,87,22,2.26,few clouds
295,Kieta,PG,-6.2167,155.6333,79.77,81,3,4.81,clear sky
296,Menongue,AO,-14.6585,17.691,56.79,41,48,3.47,scattered clouds
297,Ende,ID,-8.8432,121.6623,69.8,79,97,2.1,overcast clouds
298,La Ronge,CA,55.1001,-105.2842,59.25,82,100,5.75,overcast clouds
299,Pangnirtung,CA,66.1451,-65.7125,54.97,58,12,4.14,few clouds
300,Catemaco,MX,18.4167,-95.1167,82.47,70,96,3.09,overcast clouds
301,Deputatskiy,RU,69.3,139.9,51.69,64,37,5.39,scattered clouds
302,Ndola,ZM,-12.9587,28.6366,57.6,64,33,5.66,scattered clouds
303,Fare,PF,-16.7,-151.0167,79.2,75,0,14.83,clear sky
304,Yenagoa,NG,4.9247,6.2642,74.03,83,100,4.23,overcast clouds
305,Pevek,RU,69.7008,170.3133,36.1,84,99,2.59,overcast clouds
